Duration,Stages,Start,Type
5190.0,Wake|0,0.0,Stages|Stages
30.0,Stage 1 sleep|1,5190.0,Stages|Stages
90.0,Wake|0,5220.0,Stages|Stages
60.0,Stage 1 sleep|1,5310.0,Stages|Stages
90.0,Stage 2 sleep|2,5370.0,Stages|Stages
30.0,Stage 1 sleep|1,5460.0,Stages|Stages
90.0,Stage 2 sleep|2,5490.0,Stages|Stages
90.0,Stage 1 sleep|1,5580.0,Stages|Stages
60.0,Stage 2 sleep|2,5670.0,Stages|Stages
30.0,Wake|0,5730.0,Stages|Stages
240.0,Stage 2 sleep|2,5760.0,Stages|Stages
30.0,Stage 1 sleep|1,6000.0,Stages|Stages
690.0,Stage 2 sleep|2,6030.0,Stages|Stages
2700.0,Wake|0,6720.0,Stages|Stages
30.0,Stage 1 sleep|1,9420.0,Stages|Stages
150.0,Stage 2 sleep|2,9450.0,Stages|Stages
30.0,Wake|0,9600.0,Stages|Stages
30.0,Stage 1 sleep|1,9630.0,Stages|Stages
330.0,Stage 2 sleep|2,9660.0,Stages|Stages
30.0,Stage 1 sleep|1,9990.0,Stages|Stages
330.0,Stage 2 sleep|2,10020.0,Stages|Stages
30.0,Stage 1 sleep|1,10350.0,Stages|Stages
270.0,Stage 2 sleep|2,10380.0,Stages|Stages
60.0,Wake|0,10650.0,Stages|Stages
30.0,Stage 1 sleep|1,10710.0,Stages|Stages
150.0,Wake|0,10740.0,Stages|Stages
90.0,Stage 2 sleep|2,10890.0,Stages|Stages
30.0,Wake|0,10980.0,Stages|Stages
30.0,Stage 1 sleep|1,11010.0,Stages|Stages
30.0,Stage 2 sleep|2,11040.0,Stages|Stages
30.0,Stage 1 sleep|1,11070.0,Stages|Stages
30.0,Stage 2 sleep|2,11100.0,Stages|Stages
30.0,Stage 1 sleep|1,11130.0,Stages|Stages
120.0,Stage 2 sleep|2,11160.0,Stages|Stages
90.0,Wake|0,11280.0,Stages|Stages
60.0,Stage 2 sleep|2,11370.0,Stages|Stages
30.0,Wake|0,11430.0,Stages|Stages
30.0,Stage 1 sleep|1,11460.0,Stages|Stages
60.0,Wake|0,11490.0,Stages|Stages
30.0,Stage 2 sleep|2,11550.0,Stages|Stages
30.0,Stage 1 sleep|1,11580.0,Stages|Stages
240.0,Stage 2 sleep|2,11610.0,Stages|Stages
30.0,Wake|0,11850.0,Stages|Stages
90.0,Stage 2 sleep|2,11880.0,Stages|Stages
30.0,Wake|0,11970.0,Stages|Stages
90.0,Stage 2 sleep|2,12000.0,Stages|Stages
60.0,Stage 1 sleep|1,12090.0,Stages|Stages
90.0,Wake|0,12150.0,Stages|Stages
60.0,Stage 2 sleep|2,12240.0,Stages|Stages
30.0,Stage 1 sleep|1,12300.0,Stages|Stages
150.0,Stage 2 sleep|2,12330.0,Stages|Stages
30.0,Stage 1 sleep|1,12480.0,Stages|Stages
90.0,Stage 2 sleep|2,12510.0,Stages|Stages
210.0,REM sleep|5,12600.0,Stages|Stages
30.0,Wake|0,12810.0,Stages|Stages
30.0,REM sleep|5,12840.0,Stages|Stages
900.0,Wake|0,12870.0,Stages|Stages
60.0,Stage 1 sleep|1,13770.0,Stages|Stages
30.0,Wake|0,13830.0,Stages|Stages
30.0,Stage 1 sleep|1,13860.0,Stages|Stages
30.0,Stage 2 sleep|2,13890.0,Stages|Stages
30.0,Stage 1 sleep|1,13920.0,Stages|Stages
60.0,Stage 2 sleep|2,13950.0,Stages|Stages
150.0,Wake|0,14010.0,Stages|Stages
30.0,Stage 2 sleep|2,14160.0,Stages|Stages
30.0,Stage 1 sleep|1,14190.0,Stages|Stages
120.0,Stage 2 sleep|2,14220.0,Stages|Stages
60.0,Stage 1 sleep|1,14340.0,Stages|Stages
390.0,Stage 2 sleep|2,14400.0,Stages|Stages
120.0,Wake|0,14790.0,Stages|Stages
60.0,Stage 1 sleep|1,14910.0,Stages|Stages
120.0,Stage 2 sleep|2,14970.0,Stages|Stages
30.0,Stage 1 sleep|1,15090.0,Stages|Stages
120.0,Stage 2 sleep|2,15120.0,Stages|Stages
30.0,Stage 3 sleep|3,15240.0,Stages|Stages
390.0,Stage 2 sleep|2,15270.0,Stages|Stages
240.0,Wake|0,15660.0,Stages|Stages
60.0,Stage 1 sleep|1,15900.0,Stages|Stages
180.0,Stage 2 sleep|2,15960.0,Stages|Stages
30.0,Wake|0,16140.0,Stages|Stages
330.0,Stage 2 sleep|2,16170.0,Stages|Stages
60.0,Wake|0,16500.0,Stages|Stages
90.0,Stage 2 sleep|2,16560.0,Stages|Stages
30.0,Stage 1 sleep|1,16650.0,Stages|Stages
60.0,Stage 2 sleep|2,16680.0,Stages|Stages
30.0,Stage 1 sleep|1,16740.0,Stages|Stages
30.0,Stage 2 sleep|2,16770.0,Stages|Stages
30.0,Stage 1 sleep|1,16800.0,Stages|Stages
390.0,Stage 2 sleep|2,16830.0,Stages|Stages
30.0,Stage 1 sleep|1,17220.0,Stages|Stages
60.0,Stage 2 sleep|2,17250.0,Stages|Stages
930.0,Wake|0,17310.0,Stages|Stages
30.0,Stage 1 sleep|1,18240.0,Stages|Stages
60.0,Stage 2 sleep|2,18270.0,Stages|Stages
150.0,Stage 1 sleep|1,18330.0,Stages|Stages
60.0,Stage 2 sleep|2,18480.0,Stages|Stages
30.0,Stage 3 sleep|3,18540.0,Stages|Stages
60.0,Stage 2 sleep|2,18570.0,Stages|Stages
30.0,Wake|0,18630.0,Stages|Stages
30.0,Stage 1 sleep|1,18660.0,Stages|Stages
120.0,Stage 2 sleep|2,18690.0,Stages|Stages
30.0,Wake|0,18810.0,Stages|Stages
540.0,Stage 2 sleep|2,18840.0,Stages|Stages
60.0,Wake|0,19380.0,Stages|Stages
60.0,Stage 1 sleep|1,19440.0,Stages|Stages
60.0,Stage 2 sleep|2,19500.0,Stages|Stages
2220.0,Wake|0,19560.0,Stages|Stages
180.0,Stage 1 sleep|1,21780.0,Stages|Stages
210.0,Stage 2 sleep|2,21960.0,Stages|Stages
60.0,Stage 1 sleep|1,22170.0,Stages|Stages
30.0,Wake|0,22230.0,Stages|Stages
30.0,Stage 2 sleep|2,22260.0,Stages|Stages
30.0,Stage 1 sleep|1,22290.0,Stages|Stages
180.0,Stage 2 sleep|2,22320.0,Stages|Stages
30.0,Stage 1 sleep|1,22500.0,Stages|Stages
120.0,Stage 2 sleep|2,22530.0,Stages|Stages
30.0,Stage 1 sleep|1,22650.0,Stages|Stages
720.0,Stage 2 sleep|2,22680.0,Stages|Stages
270.0,Wake|0,23400.0,Stages|Stages
30.0,Stage 1 sleep|1,23670.0,Stages|Stages
60.0,Stage 2 sleep|2,23700.0,Stages|Stages
30.0,Wake|0,23760.0,Stages|Stages
90.0,Stage 1 sleep|1,23790.0,Stages|Stages
60.0,Stage 2 sleep|2,23880.0,Stages|Stages
30.0,Stage 1 sleep|1,23940.0,Stages|Stages
30.0,REM sleep|5,23970.0,Stages|Stages
30.0,Wake|0,24000.0,Stages|Stages
30.0,REM sleep|5,24030.0,Stages|Stages
30.0,Wake|0,24060.0,Stages|Stages
90.0,REM sleep|5,24090.0,Stages|Stages
60.0,Wake|0,24180.0,Stages|Stages
60.0,REM sleep|5,24240.0,Stages|Stages
60.0,Wake|0,24300.0,Stages|Stages
90.0,REM sleep|5,24360.0,Stages|Stages
60.0,Wake|0,24450.0,Stages|Stages
90.0,Stage 1 sleep|1,24510.0,Stages|Stages
30.0,REM sleep|5,24600.0,Stages|Stages
330.0,Wake|0,24630.0,Stages|Stages
210.0,REM sleep|5,24960.0,Stages|Stages
30.0,Wake|0,25170.0,Stages|Stages
720.0,REM sleep|5,25200.0,Stages|Stages
30.0,Wake|0,25920.0,Stages|Stages
30.0,Stage 1 sleep|1,25950.0,Stages|Stages
120.0,Wake|0,25980.0,Stages|Stages
60.0,Stage 1 sleep|1,26100.0,Stages|Stages
60.0,Stage 2 sleep|2,26160.0,Stages|Stages
30.0,Stage 1 sleep|1,26220.0,Stages|Stages
30.0,Stage 2 sleep|2,26250.0,Stages|Stages
60.0,Stage 1 sleep|1,26280.0,Stages|Stages
150.0,Stage 2 sleep|2,26340.0,Stages|Stages
30.0,Stage 1 sleep|1,26490.0,Stages|Stages
30.0,Stage 2 sleep|2,26520.0,Stages|Stages
30.0,Stage 1 sleep|1,26550.0,Stages|Stages
30.0,Stage 2 sleep|2,26580.0,Stages|Stages
60.0,Stage 1 sleep|1,26610.0,Stages|Stages
90.0,Wake|0,26670.0,Stages|Stages
90.0,Stage 1 sleep|1,26760.0,Stages|Stages
30.0,Stage 2 sleep|2,26850.0,Stages|Stages
30.0,Wake|0,26880.0,Stages|Stages
30.0,Stage 1 sleep|1,26910.0,Stages|Stages
30.0,Stage 2 sleep|2,26940.0,Stages|Stages
90.0,Stage 1 sleep|1,26970.0,Stages|Stages
660.0,Stage 2 sleep|2,27060.0,Stages|Stages
30.0,Stage 3 sleep|3,27720.0,Stages|Stages
270.0,Wake|0,27750.0,Stages|Stages
30.0,Stage 2 sleep|2,28020.0,Stages|Stages
30.0,Stage 1 sleep|1,28050.0,Stages|Stages
30.0,Wake|0,28080.0,Stages|Stages
330.0,Stage 2 sleep|2,28110.0,Stages|Stages
30.0,Stage 3 sleep|3,28440.0,Stages|Stages
900.0,Stage 2 sleep|2,28470.0,Stages|Stages
60.0,Stage 3 sleep|3,29370.0,Stages|Stages
120.0,Stage 2 sleep|2,29430.0,Stages|Stages
30.0,Stage 3 sleep|3,29550.0,Stages|Stages
60.0,Stage 2 sleep|2,29580.0,Stages|Stages
120.0,Stage 3 sleep|3,29640.0,Stages|Stages
30.0,Stage 2 sleep|2,29760.0,Stages|Stages
30.0,Stage 3 sleep|3,29790.0,Stages|Stages
30.0,Stage 2 sleep|2,29820.0,Stages|Stages
60.0,Stage 3 sleep|3,29850.0,Stages|Stages
60.0,Stage 2 sleep|2,29910.0,Stages|Stages
150.0,Stage 3 sleep|3,29970.0,Stages|Stages
30.0,Stage 2 sleep|2,30120.0,Stages|Stages
30.0,Wake|0,30150.0,Stages|Stages
30.0,Stage 1 sleep|1,30180.0,Stages|Stages
30.0,Stage 2 sleep|2,30210.0,Stages|Stages
90.0,Wake|0,30240.0,Stages|Stages
150.0,Stage 2 sleep|2,30330.0,Stages|Stages
30.0,Stage 1 sleep|1,30480.0,Stages|Stages
330.0,Stage 2 sleep|2,30510.0,Stages|Stages
210.0,REM sleep|5,30840.0,Stages|Stages
30.0,Wake|0,31050.0,Stages|Stages
30.0,Stage 1 sleep|1,31080.0,Stages|Stages
120.0,REM sleep|5,31110.0,Stages|Stages
30.0,Wake|0,31230.0,Stages|Stages
30.0,Stage 1 sleep|1,31260.0,Stages|Stages
30.0,Stage 2 sleep|2,31290.0,Stages|Stages
30.0,Wake|0,31320.0,Stages|Stages
30.0,Stage 1 sleep|1,31350.0,Stages|Stages
30.0,Stage 2 sleep|2,31380.0,Stages|Stages
60.0,Stage 1 sleep|1,31410.0,Stages|Stages
120.0,Stage 2 sleep|2,31470.0,Stages|Stages
60.0,REM sleep|5,31590.0,Stages|Stages
30.0,Wake|0,31650.0,Stages|Stages
60.0,Stage 1 sleep|1,31680.0,Stages|Stages
30.0,Wake|0,31740.0,Stages|Stages
30.0,Stage 1 sleep|1,31770.0,Stages|Stages
60.0,Stage 2 sleep|2,31800.0,Stages|Stages
30.0,Stage 1 sleep|1,31860.0,Stages|Stages
90.0,Stage 2 sleep|2,31890.0,Stages|Stages
30.0,Wake|0,31980.0,Stages|Stages
30.0,Stage 1 sleep|1,32010.0,Stages|Stages
90.0,Stage 2 sleep|2,32040.0,Stages|Stages
30.0,Stage 1 sleep|1,32130.0,Stages|Stages
210.0,Stage 2 sleep|2,32160.0,Stages|Stages
30.0,Stage 1 sleep|1,32370.0,Stages|Stages
30.0,Stage 2 sleep|2,32400.0,Stages|Stages
60.0,Stage 1 sleep|1,32430.0,Stages|Stages
90.0,Stage 2 sleep|2,32490.0,Stages|Stages
30.0,Wake|0,32580.0,Stages|Stages
60.0,Stage 1 sleep|1,32610.0,Stages|Stages
30.0,Stage 2 sleep|2,32670.0,Stages|Stages
30.0,Wake|0,32700.0,Stages|Stages
30.0,Stage 1 sleep|1,32730.0,Stages|Stages
60.0,Stage 2 sleep|2,32760.0,Stages|Stages
60.0,Stage 1 sleep|1,32820.0,Stages|Stages
60.0,Stage 2 sleep|2,32880.0,Stages|Stages
90.0,Stage 1 sleep|1,32940.0,Stages|Stages
120.0,Stage 2 sleep|2,33030.0,Stages|Stages
30.0,Stage 1 sleep|1,33150.0,Stages|Stages
30.0,Stage 2 sleep|2,33180.0,Stages|Stages
90.0,Stage 1 sleep|1,33210.0,Stages|Stages
60.0,Stage 2 sleep|2,33300.0,Stages|Stages
120.0,Stage 1 sleep|1,33360.0,Stages|Stages
30.0,Stage 2 sleep|2,33480.0,Stages|Stages
30.0,Stage 1 sleep|1,33510.0,Stages|Stages
210.0,Stage 2 sleep|2,33540.0,Stages|Stages
60.0,Stage 1 sleep|1,33750.0,Stages|Stages
30.0,Stage 2 sleep|2,33810.0,Stages|Stages
30.0,Wake|0,33840.0,Stages|Stages
180.0,Stage 1 sleep|1,33870.0,Stages|Stages
90.0,REM sleep|5,34050.0,Stages|Stages
30.0,Wake|0,34140.0,Stages|Stages
90.0,REM sleep|5,34170.0,Stages|Stages
30.0,Wake|0,34260.0,Stages|Stages
30.0,REM sleep|5,34290.0,Stages|Stages
30.0,Wake|0,34320.0,Stages|Stages
60.0,REM sleep|5,34350.0,Stages|Stages
30.0,Stage 1 sleep|1,34410.0,Stages|Stages
30.0,REM sleep|5,34440.0,Stages|Stages
30.0,Wake|0,34470.0,Stages|Stages
30.0,Stage 1 sleep|1,34500.0,Stages|Stages
30.0,Wake|0,34530.0,Stages|Stages
120.0,Stage 1 sleep|1,34560.0,Stages|Stages
2070.0,Wake|0,34680.0,Stages|Stages
120.0,Stage 1 sleep|1,36750.0,Stages|Stages
1140.0,Stage 2 sleep|2,36870.0,Stages|Stages
150.0,REM sleep|5,38010.0,Stages|Stages
5010.0,Wake|0,38160.0,Stages|Stages
